code;libelle;code_fnere
C270300;Fabrication d'autres fournitures électriques;2730
C280100;Fabrication de machines d'usage général;2810
C280200;Fabrication de machines d'usage spécifique;2820
C290000;Construction de véhicules automobiles;2900
C3001;Construction navale;3011
C300101;Construction navale;3011
C300102;Construction aéronautique;3012
C300103;Construction de matériels ferroviaires roulants;3013
C300104;Construction de véhicules militaires de combat;3014
C300200;Fabrication d'autres équipements de transport;3020
C310001;Fabrication de matelas et sommiers;3110
C310002;Fabrication de meubles divers;3120
C320001;Fabrication d'articles de bijouterie;3210
C320002;Fabrication d'instruments de musique;3220
C320003;Activités manufacturières n.c.a.;3230
C330100;Réparation de machines et d'équipements professionnels;3310
C330200;Installation de machines et d'équipements professionnels;3320
D3501;Production, transport et distribution d'électricité;3510
D350100;Production, transport et distribution d'électricité;3510
D350200;Production et distribution de combustibles gazeux et de glace;3520
E360000;Captage, traitement et distribution d'eau;3600
E370000;Collecte et traitement des eaux usées;3700
E3800;Collecte, traitement et élimination des déchets;3801
E380001;Collecte, traitement et élimination des déchets;3801
E380002;Récupération des déchets;3802
E390000;Dépollution et autres activités de gestion des déchets;3900
F410100;Promotion immobilière;4111
F410200;Construction de bâtiments complets;4120
F4200;Génie civil;4200
F420001;Génie civil;4200
F420002;Génie civil;4200
F420003;Génie civil;4200
F4300;Commerce de gros non spécialisé;4660
F430001;Démolition et préparation des sites;4301
F430002;Travaux d'installation;4302
F430003;Travaux de finition;4303
F430004;Autres travaux spécialisés de construction;4304
G450100;Commerce de véhicules automobiles;4510
G450200;Entretien et réparation de véhicules automobiles;4520
G450300;Commerce de pièces détachées et d'accessoires automobiles;4530
G450400;Commerce et réparation de motocycles;4540
G460100;Activités des Intermédiaires du commerce de gros;4610
G460201;Commerce de gros de produits agricoles bruts et d'aliments pour animaux;4621
G460202;Commerce de gros d'animaux vivants, de peaux et cuirs;4622
G460203;Commerce de gros de produits alimentaires, boissons et tabacs manufacturés;4623
G460301;Commerce de gros de textiles, habillement et chaussures;4631
G460302;Commerce de gros de produits pharmaceutiques et médicaux;4632
G460303;Commerce de gros de biens de consommation non alimentaires n. c. a.;4633
G460401;Commerce de gros de carburants et combustibles;4641
G460402;Commerce de gros de bois;4642
G460403;Commerce de gros d'autres matériaux de construction, quincaillerie et fournitures pour plomberie;4643
G460404;Commerce de gros de produits intermédiaires non agricoles divers;4644
G460501;Commerce de gros d'autres équipements industriels et fournitures diverses;4652
G460502;Commerce de gros d'autres équipements industriels et fournitures diverses;4652
G4701;Commerce de détail en magasin non spécialisé;4710
G470100;Commerce de détail en magasin non spécialisé;4710
G470201;Commerce de détail en magasin spécialisé de produits alimentaires, boissons et tabacs manufacturés;4721
G470202;Commerce de détail en magasin spécialisé de produits pharmaceutiques et médicaux, de parfumerie et d;4722
G470203;Commerce de détail en magasin spécialisé de textiles, habillement, chaussures et articles en cuir;4723
G470204;Commerce de détail en magasin spécialisé d'articles et appareils d'équipement domestique;4724
G470205;Commerce de détail en magasin spécialisé de quincaillerie, peintures, verre, tapis et revêtement de ;4725
G470206;Commerce de détail en magasin spécialisé de livres, journaux et articles de sport et de loisirs;4726
G470207;Commerce de détail en magasin spécialisé d'équipements informatiques et de matériels de télécommunic;4727
G470208;Commerce de détail en magasin spécialisé de carburants automobiles;4728
G470209;Commerce de détail en magasin spécialisé d'autres produits n.c.a.;4729
G470210;Commerce de détail en magasin spécialisé d'équipements informatiques et de matériels de télécommunic;4727
G470211;Commerce de détail en magasin non spécialisé;4710
G470301;Commerce de détail sur éventaires et marchés de viandes et poissons;4731
G470302;Commerce de détail sur éventaires et marchés de fruits et légumes frais;4732
G470303;Commerce de détail sur éventaires et marchés de céréales, tubercules et d'autres produits alimentair;4733
G470304;Commerce de détail sur éventaires et marchés de textiles, habillement, chaussures et articles en cui;4734
G470305;Commerce de détail sur éventaires et marchés d'articles non alimentaires divers;4735
G470306;Autres commerces de détail hors magasin;4736
H4901;Transports ferroviaires;4910
H490100;Transports ferroviaires;4910
H490201;Transports routiers de passagers;4921
H490202;Transports routiers de marchandises;4922
H490300;Transports par conduites;4930
H500100;Transports maritimes et côtiers;5010
H500200;Transports fluviaux;5020
H510001;Transports aériens de passagers;5101
H510002;Transports aériens de fret et lancements spatiaux;5102
H520100;Entreposage;5210
H520201;Manutention;5221
H520202;Exploitation d'infrastructures de transport;5222
H520203;Organisation du transport de fret;5223
H5300;Activités de service postal universel;5301
H530001;Activités de service postal universel;5301
H530002;Autres activités de courrier et de distribution;5302
I5500;Hébergement;5500
I550000;Hébergement;5500
I560100;Restauration;5610
I560200;Activités de débits de boissons;5620
J5801;Édition de livres et périodiques;5810
J580100;Édition de livres et périodiques;5810
J580200;Édition de logiciels;5820
J590100;Production vidéo : cinéma et télévision;5910
J590200;Production audio et édition musicale;5920
J600001;Édition et diffusion de programmes radio;6001
J600002;"Programmation télévisuelle; télédiffusion";6002
J6100;Télécommunications;6100
J610000;Télécommunications;6100
J620001;Programmation informatique;6201
J620002;Conseil et autres activités informatiques;6202
J630001;"Traitement de données, hébergement et activités connexes ; portails Internet";6301
J630002;Autres activités liées à l'information;6302
K640101;Activités de banque centrale;6411
K640102;Autres intermédiations monétaires;6412
K640200;Fonds de placements, holdings et activités financières similaires;6420
K640301;Activités de micro finance;6431
K640302;Autres activités de crédits et autres intermédiations non monétaires;6432
K6500;BANQUE, FINANCE, ASSURANCE ET ACTIVITES AUXILLIAIRES;K6500
K650001;Assurance-vie et caisses de retraite;6501
K650002;Assurance-dommages et réassurance;6502
K660001;Gestion fonds pour tiers;6601
K660002;Activités d'auxiliaires financiers;6602
K660003;Activités d'auxiliaires d'assurance;6603
L680100;Location immobilière et activités sur biens propres;6810
L680200;Activités des agences immobilières;6820
M6901;Activités juridiques;6901
M690100;Activités juridiques;6901
M690200;Activités comptables;6902
M700001;Activités des sièges sociaux;7001
M700002;Conseil en gestion;7002
M710001;Architecture, activités d'ingénierie;7101
M710002;Activités de contrôle et analyses techniques;7102
M7201;Recherche-développement en sciences physiques et naturelles;7210
M720100;Recherche-développement en sciences physiques et naturelles;7210
M720200;Recherche-développement en sciences humaines et sociales;7220
M7300;Publicité;7301
M730001;Publicité;7301
M730002;Études de marché et sondages;7302
M740001;Activités spécialisées de design;7401
M740002;Activités photographiques;7402
M740003;Autres activités spécialisées, scientifiques et techniques n.c.a.;7403
M750000;Activités vétérinaires;7500
N7700;Location de véhicules automobiles;7701
N770001;Location de véhicules automobiles;7701
N770002;Location de machines et d'équipements n.c.a;7702
N770003;Location d'articles personnels et domestiques nca;7703
N770004;Gestion des droits de propriété industrielle;7704
N780000;Activités liées aux ressources humaines;7800
N790000;Activités des agences de réservation et voyagistes;7900
N800000;Enquêtes et sécurité;8000
N810001;Activités combinées de soutien aux bâtiments;8101
N810002;Activités de nettoyage;8102
N810003;Aménagement paysager;8103
N820001;Activités de bureau, routage et centres d'appels;8201
N820002;Organisation de foires, salons et congrès;8202
N820003;Activités de soutien aux entreprises n.c.a.;8203
O8401;Activités d'administration générale, économique et sociale;8410
O840100;Activités d'administration générale, économique et sociale;8410
O840200;Activités de prérogative publique;8420
O840300;Activités de sécurité sociale obligatoire;8430
P8501;Autres activités d'enseignement;8540
P850100;Enseignement pré-primaire et primaire;8510
P850201;Enseignement secondaire général;8521
P850202;Enseignement secondaire technique ou professionnel;8522
P850301;Enseignement post-secondaire, supérieur ou non;8530
P850302;Enseignement post-secondaire, supérieur ou non;8530
P850400;Autres activités d'enseignement;8540
Q8601;Autres activités pour la santé humaine;8632
Q860100;Activités hospitalières;8610
Q860200;Pratique médicale et/ou dentaire;8620
Q860301;Activités des tradipraticiens;8631
Q860302;Autres activités pour la santé humaine;8632
Q870000;Activités d'Hébergement médico-social et social;8700
Q880000;Action sociale sans hébergement;8800
R9000;Activités créatives, artistiques et de spectacle;9000
R900000;Activités créatives, artistiques et de spectacle;9000
R910000;Conservation et valorisation du patrimoine;9100
R920000;Organisation de jeux de hasard et d'argent;9200
R930100;Activités sportives, récréatives et de loisirs;9300
R930200;Activités sportives, récréatives et de loisirs;9300
S9401;Activités des organisations économiques, patronales et professionnelles;9410
S940100;Activités des organisations économiques, patronales et professionnelles;9410
S940200;Activités des syndicats des travailleurs;9420
S940301;Activités des organisations religieuses;9431
S940302;Activités des organisations politiques;9432
S940303;Activités des autres organisations associatives;9433
S950101;Réparation d'ordinateurs et d'équipements périphériques;9511
S950102;Réparation d'équipements de communication;9512
S9502;Réparation de biens personnels et domestiques;9520
S950200;Réparation de biens personnels et domestiques;9520
S960001;Lavage et nettoyage de textiles;9601
S960002;Coiffure et soins de beauté;9602
S960003;Services funéraires;9603
S960004;Autres services personnels n.c.a;9604
T970000;Activités des ménages en tant qu'employeurs de personnel domestique;9700
T980001;Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre;9801
T980002;Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;9802
U990000;Activités des organisations extraterritoriales;9900
