code;libelle;code_fnere
2230;REPRODUCTION D'ENREGISTREMENTS (SONORES, VIDÉO ET INFORMATIQUES);1820
2310;RAFFINAGE PÉTROLIER;1910
2320;"COKÉFACTION ; TRAITEMENT DE COMBUSTIBLES NUCLÉAIRES";1920
2411;FABRICATION DE PRODUITS AZOTÉS ET D'ENGRAIS;2011
2412;FABRICATION DE CHARBON DE BOIS;0213
2413;FABRICATION D'AUTRES PRODUITS CHIMIQUES DE BASE;2012
2421;INDUSTRIE PHARMACEUTIQUE;2101
2422;FABRICATION DE MÉDICAMENTS TRADITIONNELS;2102
2431;FABRICATION DE SAVONS, DÉTERGENTS ET PRODUITS D'ENTRETIEN;2021
2432;FABRICATION DE PARFUMS ET DE PRODUITS DE TOILETTE;2022
2441;FABRICATION DE PRODUITS AGROCHIMIQUES;2023
2442;FABRICATION DE PEINTURES ET VERNIS, ADJUVANTS ET ENCRES D'IMPRIMERIE;2024
2443;FABRICATION D'AUTRES PRODUITS CHIMIQUES;2026
2450;FABRICATION DE FIBRES SYNTHÉTIQUES OU ARTIFICIELLES;2025
2511;FABRICATION DE PNEUMATIQUES ET DE CHAMBRES À AIR, RECHAPAGE;2211
2512;FABRICATION D'AUTRES OUVRAGES EN CAOUTCHOUC;2212
2520;FABRICATION DE PRODUITS EN MATIÈRES PLASTIQUES;2220
2610;FABRICATION DE VERRE ET D'ARTICLES EN VERRE;2310
2621;FABRICATION DE CARREAUX EN CÉRAMIQUE;2321
2622;FABRICATION DE TUILES ET DE BRIQUES EN TERRE;2322
2623;FABRICATION D'AUTRES PRODUITS CÉRAMIQUES;2323
2631;FABRICATION DE CIMENT, CHAUX ET PLÂTRE;2331
2632;"FABRICATION DE MATÉRIAUX ET D'OUVRAGES EN CIMENT, EN BÉTON OU EN PLÂTRE ; TRAVAIL DE LA TERRE";2332
2633;FABRICATION DE PRODUITS MINÉRAUX NON MÉTALLIQUES;2333
2710;SIDÉRURGIE ET PREMIÈRE TRANSFORMATION DE L'ACIER;2410
2720;MÉTALLURGIE ET PREMIÈRE TRANSFORMATION DES MÉTAUX PRÉCIEUX ET DES MÉTAUX NON FERREUX;2420
2730;FONDERIE;2430
2810;"CONSTRUCTION ET MENUISERIE MÉTALLIQUES ; FABRICATION DE CITERNES, RÉSERVOIRS ET GÉNÉRATEURS DE VAPEUR";2510
2820;"FABRICATION D'AUTRES OUVRAGES EN MÉTAUX ; TRAVAIL DES MÉTAUX";2520
2910;FABRICATION DE MACHINES D'USAGE GÉNÉRAL;2810
29109;SERVICES D'INSTALLATION, DE RÉPARATION ET DE MAINTENANCE DE MACHINES ET APPAREILS D'USAGE GÉNÉRAL;3310
2920;FABRICATION DE MACHINES D'USAGE SPÉCIFIQUE;2820
2930;FABRICATION D'APPAREILS DOMESTIQUES N.C.A;2720
3000;FABRICATION DE MACHINES DE BUREAU ET DE MATÉRIEL INFORMATIQUE;2612
3100;FABRICATION DE MACHINES ET DE MATÉRIELS;2710
3200;FABRICATION D'ÉQUIPEMENST ET APPAREILS DE RADIO, TÉLÉVISION ET COMMUNICATION;2621
3300;FABRICATION D'INSTRUMENTS MÉDICAUX, DE PRÉCISION , D'OPTIQUE ET D'HORLOGERIE;2630
3400;CONSTRUCTION DE VÉHICULES AUTOMOBILES;2900
3510;CONSTRUCTIONS ET RÉPARATIONS NAVALES, AÉRONAUTIQUES ET FERROVIAIRES;3011
3520;FABRICATION D'AUTRES ÉQUIPEMENTS DE TRANSPORT;3020
3611;FABRICATION DE MATELAS ET DE SOMMIERS;3110
3612;FABRICATION DE MEUBLES;3120
3621;BIJOUTERIE;3210
3622;FABRICATION D'INSTRUMENTS DE MUSIQUE;3220
3623;FABRICATION DE BOUGIES OU D'ALLUMETTESS;3230
3624;ACTIVITÉS DE FABRICATION DIVERSES;3230
3700;RÉCUPÉRATION;3802
4010;PRODUCTION ET DISTRIBUTION D'ÉLECTRICITÉ;3510
4020;"PRODUCTION DE GAZ ; DISTRIBUTION PAR CONDUITE DE COMBUSTIBLES GAZEUX";3520
4100;CAPTAGE, TRAITEMENT ET DISTRIBUTION D'EAU;3600
4510;PRÉPARATION DES SITES;4301
4521;CONSTRUCTION DES BÂTIMENTS;4120
4522;GÉNIE CIVIL;4200
4530;TRAVAUX D'INSTALLATION;4302
4540;TRAVAUX DE FINITION;4303
4550;LOCATION DE MATÉRIEL DE CONSTRUCTION AVEC OPÉRATEUR;4304
5010;COMMERCE DE VÉHICULES AUTOMOBILES;4510
5020;ENTRETIEN ET RÉPARATION DE VÉHICULES AUTOMOBILES;4520
5030;COMMERCE DE PIÈCES ET D'ACCESSOIRES AUTOMOBILES;4530
5041;COMMERCE DE MOTOCYCLES ET ACCESSOIRES;4540
5042;RÉPARATION DE MOTOCYCLES;4540
5050;COMMERCE DE DÉTAIL DE CARBURANTS;4728
5110;ACTIVITÉS D'INTERMÉDIAIRES DU COMMERCE DE GROS;4610
5121;COMMERCE DE GROS DE PRODUITS AGRICOLES BRUTS ET D'ALIMENTS POUR ANIMAUX;4621
5122;COMMERCE DE GROS D'ANIMAUX VIVANTS, DE PEAUX ET CUIRS;4622
5123;COMMERCE DE GROS DE PRODUITS ALIMENTAIRES, BOISSONS ET TABACS MANUFACTURÉS;4623
5131;COMMERCE DE GROS DE TEXTILES, HABILLEMENT ET CHAUSSURES;4631
5132;COMMERCE DE GROS DE PRODUITS PHARMACEUTIQUES ET MÉDICAUX;4632
5133;COMMERCE DE GROS DE BIENS DE CONSOMMATION NON ALIMENTAIRES DIVERS;4633
